-0.525              1.169               255
-0.375              1.169               256
-0.225              1.169               257
-0.075              1.169               258
0.075               1.169               259
0.225               1.169               260
0.375               1.169               261
0.525               1.169               262
0.675               1.169               263
0.750               1.039               264
0.825               0.909               265
0.900               0.779               266
0.975               0.650               267
1.050               0.520               268
1.125               0.390               269
1.200               0.260               270
1.275               0.130               271
1.500               0.000               272
1.425               -0.130              273
1.350               -0.260              274
1.275               -0.390              275
1.200               -0.520              276
1.125               -0.650              277
1.050               -0.779              278
0.975               -0.909              279
0.900               -1.039              280
0.825               -1.169              281
0.750               -1.299              282
0.600               -1.299              283
0.450               -1.299              284
0.300               -1.299              285
0.150               -1.299              286
0.000               -1.299              287
-0.150              -1.299              288
-0.300              -1.299              289
-0.450              -1.299              290
-0.600              -1.299              291
-0.750              -1.299              292
-0.825              -1.169              293
-0.900              -1.039              294
-0.975              -0.909              295
-1.050              -0.779              296
-1.125              -0.650              297
-1.200              -0.520              298
-1.275              -0.390              299
-1.350              -0.260              300
-1.425              -0.130              301
-1.500              0.000               302
-1.425              0.130               303
-1.350              0.260               304
-1.275              0.390               305
-1.200              0.520               306
-1.125              0.650               307
-1.050              0.779               308
-0.975              0.909               309
-0.900              1.039               310
-0.825              1.169               311
-0.750              1.299               312
-0.600              1.299               313
-0.450              1.299               314
-0.300              1.299               315
-0.150              1.299               316
0.000               1.299               317
0.150               1.299               318
0.300               1.299               319
0.450               1.299               320
0.600               1.299               321
0.750               1.299               322
0.825               1.169               323
0.900               1.039               324
0.975               0.909               325
1.050               0.779               326
1.125               0.650               327
1.200               0.520               328
1.275               0.390               329
1.350               0.260               330
1.425               0.130               331
1.650               0.000               332
1.575               -0.130              333
1.500               -0.260              334
1.425               -0.390              335
1.350               -0.520              336
1.275               -0.650              337
1.200               -0.779              338
1.125               -0.909              339
1.050               -1.039              340
0.975               -1.169              341
0.900               -1.299              342
0.825               -1.429              343
0.675               -1.429              344
0.525               -1.429              345
0.375               -1.429              346
0.225               -1.429              347
0.075               -1.429              348
-0.075              -1.429              349
-0.225              -1.429              350
-0.375              -1.429              351
-0.525              -1.429              352
-0.675              -1.429              353
-0.825              -1.429              354
-0.900              -1.299              355
-0.975              -1.169              356
-1.050              -1.039              357
-1.125              -0.909              358
-1.200              -0.779              359
-1.275              -0.650              360
-1.350              -0.520              361
-1.425              -0.390              362
-1.500              -0.260              363
-1.575              -0.130              364
-1.650              0.000               365
-1.575              0.130               366
-1.500              0.260               367
-1.425              0.390               368
-1.350              0.520               369
-1.275              0.650               370
-1.200              0.779               371
-1.125              0.909               372
-1.050              1.039               373
-0.975              1.169               374
-0.900              1.299               375
-0.825              1.429               376
-0.675              1.429               377
-0.525              1.429               378
-0.375              1.429               379
-0.225              1.429               380
-0.075              1.429               381
0.075               1.429               382
0.225               1.429               383
0.375               1.429               384
0.525               1.429               385
0.675               1.429               386
0.825               1.429               387
0.900               1.299               388
0.975               1.169               389
1.050               1.039               390
1.125               0.909               391
1.200               0.779               392
1.275               0.650               393
1.350               0.520               394
1.425               0.390               395
1.500               0.260               396
1.575               0.130               397
1.725               -0.130              398
