(7.466,-14.864)     7.46625             -14.864167          6.14                
(7.454,-32.117)     7.45375             -32.116667          6.57                
12_Cet              7.51                -3.957222           5.72                
(7.595,-23.788)     7.594583            -23.787778          5.19                
(7.616,-40.939)     7.615833            -40.939444          6.19                
(7.609,-48.215)     7.60875             -48.215             5.69                
13_Cas              7.855417            66.519444           6.18                
(7.857,33.582)      7.856667            33.581667           5.87                
14Lam_Cas           7.943333            54.522222           4.73                
(7.922,52.839)      7.921667            52.839444           5.6                 
Lam1Phe             7.854167            -48.803611          4.77                
Bet1Tuc             7.88625             -62.958056          4.37                
Bet2Tuc             7.89                -62.965833          4.54                
(8.112,43.495)      8.111667            43.494722           6.7                 
(8.33,70.982)       8.330417            70.981667           6.42                
15Kap_Cas           8.25                62.931667           4.16                
52_Psc              8.147917            20.294444           5.38                
51_Psc              8.099167            6.955556            5.67                
(8.144,27.581)      8.14375             27.580556           6.67                
(8.205,28.28)       8.204583            28.280278           6.3                 
(8.293,54.895)      8.293333            54.895              5.93                
Bet3Tuc             8.1825              -63.031111          5.09                
16_Cas              8.60375             66.750278           6.48                
(8.421,-29.558)     8.42125             -29.558333          5.55                
The_Tuc             8.347083            -71.266111          6.13                
(8.616,-52.373)     8.615833            -52.373056          5.57                
(8.73,13.371)       8.730417            13.371111           6.4                 
13_Cet              8.812083            -3.592778           5.2                 
14_Cet              8.886667            -0.505556           5.93                
(9.035,54.169)      9.034583            54.168611           5.08                
(8.978,13.207)      8.977917            13.206667           6.41                
(9.114,60.326)      9.11375             60.326111           5.79                
Lam2Phe             8.92125             -48.000833          5.51                
(8.889,-54.822)     8.889167            -54.821944          6.06                
(9.083,27.255)      9.083333            27.254722           6.5                 
(9.012,-14.974)     9.0125              -14.973611          6.45                
(9.029,-22.842)     9.02875             -22.8425            6.06                
(9.194,44.489)      9.194167            44.488611           5.13                
17Zet_Cas           9.242917            53.896944           3.66                
29Pi_And            9.220417            33.719444           4.36                
53_Psc              9.197083            15.231667           5.89                
(9.28,24.014)       9.28                24.014167           6.47                
(9.338,35.399)      9.337917            35.399444           5.48                
(9.947,82.494)      9.947083            82.493889           6.4                 
(9.336,-24.767)     9.33625             -24.767222          5.57                
(9.156,-65.125)     9.155833            -65.124722          6.42                
(9.377,3.135)       9.377083            3.135278            6.39                
(9.325,-54.394)     9.325417            -54.394167          6.41                
30Eps_And           9.63875             29.311667           4.37                
(9.791,49.354)      9.79125             49.354444           5.43                
31Del_And           9.832083            30.860833           3.27                
54_Psc              9.840833            21.250556           5.87                
55_Psc              9.981667            21.438333           5.36                
18Alp_Cas           10.127083           56.537222           2.23                
(9.67,-73.137)      9.67                -73.137222          6.85                
